threads,time
2,0.05
2,0.05
2,0.05
2,0.05
2,0.05
4,0.06
4,0.06
4,0.06
4,0.06
4,0.06
8,0.07
8,0.07
8,0.07
8,0.07
8,0.07
16,0.08
16,0.08
16,0.08
16,0.08
16,0.08
32,0.09
32,0.09
32,0.09
32,0.09
32,0.09
