threads,time
2,0.39
2,0.39
2,0.39
2,0.39
2,0.39
4,0.25
4,0.24
4,0.25
4,0.25
4,0.24
8,0.19
8,0.18
8,0.19
8,0.18
8,0.18
16,0.16
16,0.17
16,0.17
16,0.17
16,0.17
32,0.65
32,0.46
32,0.37
32,0.73
32,0.66
