threads,time
2,0.04
2,0.04
2,0.04
2,0.04
2,0.04
4,0.05
4,0.05
4,0.05
4,0.05
4,0.05
8,0.06
8,0.06
8,0.06
8,0.06
8,0.07
16,0.1
16,0.11
16,0.09
16,0.09
16,0.1
32,0.41
32,0.42
32,0.9
32,0.41
32,0.39
