threads,time
2,0.04
2,0.03
2,0.04
2,0.04
2,0.03
4,0.05
4,0.05
4,0.05
4,0.05
4,0.05
8,0.06
8,0.07
8,0.06
8,0.07
8,0.07
16,0.1
16,0.1
16,0.09
16,0.11
16,0.1
32,0.36
32,0.31
32,0.34
32,0.43
32,0.51
