threads,time
2,0.11
2,0.11
2,0.12
2,0.12
2,0.11
4,0.36
4,0.32
4,0.33
4,0.32
4,0.34
8,0.44
8,0.43
8,0.42
8,0.47
8,0.48
16,0.64
16,0.62
16,0.65
16,0.63
16,0.66
32,1.17
32,1.2
32,1.2
32,1.17
32,1.17
