threads,time
2,0.42
2,0.41
2,0.41
2,0.41
2,0.41
4,0.25
4,0.25
4,0.25
4,0.25
4,0.25
8,0.16
8,0.16
8,0.16
8,0.16
8,0.16
16,0.12
16,0.12
16,0.12
16,0.12
16,0.12
32,0.1
32,0.1
32,0.1
32,0.1
32,0.1
