threads,time
2,0.39
2,0.38
2,0.39
2,0.39
2,0.39
4,0.24
4,0.25
4,0.24
4,0.3
4,0.24
8,0.18
8,0.2
8,0.18
8,0.18
8,0.19
16,0.17
16,0.17
16,0.17
16,0.17
16,0.17
32,0.77
32,0.54
32,0.44
32,0.81
32,0.45
