threads,time
2,0.08
2,0.08
2,0.08
2,0.08
2,0.08
4,0.38
4,0.34
4,0.37
4,0.35
4,0.37
8,1.03
8,1.03
8,0.8
8,0.82
8,1.04
16,1.59
16,1.89
16,1.92
16,1.71
16,1.92
32,3.67
32,3.85
32,3.47
32,4.06
32,3.61
