threads,time
1,0.004
1,0.004
1,0.005
1,0.004
1,0.004
2,0.005
2,0.004
2,0.005
2,0.006
2,0.005
4,0.010
4,0.005
4,0.005
4,0.007
4,0.008
8,0.004
8,0.005
8,0.006
8,0.004
8,0.006
16,0.006
16,0.005
16,0.005
16,0.005
16,0.007
32,0.006
32,0.008
32,0.005
32,0.006
32,0.006
