threads,time
2,0.23
2,0.24
2,0.22
2,0.22
2,0.31
4,0.28
4,0.24
4,0.23
4,0.24
4,0.24
8,0.29
8,0.27
8,0.27
8,0.29
8,0.29
16,0.22
16,0.22
16,0.29
16,0.23
16,0.22
32,0.21
32,0.23
32,0.23
32,0.21
32,0.23
