threads,time
2,0.90
2,0.92
2,1.01
2,1.07
2,0.93
4,1.00
4,0.96
4,1.00
4,0.97
4,1.07
8,0.60
8,0.60
8,0.59
8,0.59
8,0.59
16,0.19
16,0.19
16,0.22
16,0.23
16,0.19
32,0.20
32,0.17
32,0.18
32,0.18
32,0.30
